"x","y","z"
2.304088, 0.742975 , 0.742975
2.307240, 0.740862 , 0.740862
2.310392, 0.738741 , 0.738741
2.313544, 0.736613 , 0.736613
2.316696, 0.734478 , 0.734478
2.319848, 0.732335 , 0.732335
2.323000, 0.730185 , 0.730185
2.326152, 0.728028 , 0.728028
2.329304, 0.725864 , 0.725864
2.332456, 0.723692 , 0.723692
2.335608, 0.721513 , 0.721513
2.338760, 0.719327 , 0.719327
2.341911, 0.717134 , 0.717134
2.345063, 0.714934 , 0.714934
2.348215, 0.712726 , 0.712726
2.351367, 0.710512 , 0.710512
2.354519, 0.708290 , 0.708290
2.357671, 0.706062 , 0.706062
2.360823, 0.703826 , 0.703826
2.363975, 0.701584 , 0.701584
2.367127, 0.699334 , 0.699334
2.370279, 0.697078 , 0.697078
2.373431, 0.694814 , 0.694814
2.376583, 0.692544 , 0.692544
2.379735, 0.690267 , 0.690267
2.382887, 0.687983 , 0.687983
2.386039, 0.685692 , 0.685692
2.389191, 0.683394 , 0.683394
2.392343, 0.681090 , 0.681090
2.395495, 0.678778 , 0.678778
2.398647, 0.676460 , 0.676460
2.401799, 0.674136 , 0.674136
2.404951, 0.671804 , 0.671804
2.408103, 0.669466 , 0.669466
2.411255, 0.667121 , 0.667121
2.414407, 0.664770 , 0.664770
2.417559, 0.662412 , 0.662412
2.420711, 0.660048 , 0.660048
2.423863, 0.657676 , 0.657676
2.427015, 0.655299 , 0.655299
2.430167, 0.652915 , 0.652915
2.433319, 0.650524 , 0.650524
2.436470, 0.648127 , 0.648127
2.439622, 0.645723 , 0.645723
